Match,Team,Start Time,Outlier Book,Outlier Odds,Modified Z Score,Scrape Time
Washington Mystics @ Los Angeles Sparks,Washington Mystics,2025-07-15 22:00:00,Unibet (Nl),1.91,4.72,2025-07-15 18:32:32
Amazonas FC @ Cuiabá,Cuiabá,2025-07-15 18:30:00,Grosvenor,1.56,4.05,2025-07-15 18:32:32
Cerro Largo @ Central Córdoba,Cerro Largo,2025-07-15 18:00:00,Paddy Power,11.0,4.05,2025-07-15 18:32:32
América de Cali @ Bahia,Draw,2025-07-15 20:30:00,Coolbet,4.0,4.05,2025-07-15 18:32:32
Vasco da Gama @ Independiente del Valle,Draw,2025-07-15 20:30:00,Coolbet,3.5,3.37,2025-07-15 18:32:32
Indiana Fever @ Connecticut Sun,Connecticut Sun,2025-07-15 20:00:00,Unibet,10.5,3.21,2025-07-15 18:32:32
American League @ National League,American League,2025-07-15 20:00:00,Fanatics,2.1,3.1,2025-07-15 18:32:32
Brooklyn Nets @ New York Knicks,Brooklyn Nets,2025-07-15 18:03:13,Virgin Bet,,2.4,2025-07-15 18:32:32
Toronto Raptors @ Denver Nuggets,Denver Nuggets,2025-07-15 20:00:00,Virgin Bet,,2.29,2025-07-15 18:32:32
Philadelphia 76ers @ Washington Wizards,Philadelphia 76ers,2025-07-15 20:30:00,Livescore Bet,,2.02,2025-07-15 18:32:32
Oklahoma City Thunder @ Orlando Magic,Oklahoma City Thunder,2025-07-15 18:39:16,Livescore Bet,,3.04,2025-07-15 22:59:06
Golden State Warriors @ Memphis Grizzlies,Golden State Warriors,2025-07-15 22:30:00,Fanduel,2.68,3.71,2025-07-16 00:11:30
Tamara Zidansek @ Julia Riera,Julia Riera,2025-07-16 04:00:00,Coral,,2.7,2025-07-16 00:11:30
Yokohama DeNA BayStars @ Hiroshima Toyo Carp,Hiroshima Toyo Carp,2025-07-16 05:00:00,Paddy Power,,2.36,2025-07-16 01:00:30
Hokkaido Nippon-Ham Fighters @ Saitama Seibu Lions,Saitama Seibu Lions,2025-07-16 05:00:00,Betrivers,2.3,4.05,2025-07-16 01:30:19
Tohoku Rakuten Golden Eagles @ Orix Buffaloes,Tohoku Rakuten Golden Eagles,2025-07-16 05:00:00,Pinnacle,2.38,2.19,2025-07-16 02:28:44
New Zealand @ South Africa,South Africa,2025-07-16 07:00:00,Fanatics,,5.4,2025-07-16 03:20:01
Paul Gallen @ Sonny Bill Williams,Draw,2025-07-16 07:00:00,Gtbets,,3.24,2025-07-16 03:20:01
Chunichi Dragons @ Hanshin Tigers,Chunichi Dragons,2025-07-16 05:00:00,Betrivers,2.5,2.16,2025-07-16 03:20:01
Chiba Lotte Marines @ Fukuoka SoftBank Hawks,Fukuoka SoftBank Hawks,2025-07-16 05:00:00,Boylesports,1.53,2.47,2025-07-16 07:54:25
Bangladesh @ Sri Lanka,Sri Lanka,2025-07-16 09:30:00,Betus,,3.37,2025-07-16 08:45:31
